id,instrument,direction,quantity,opened_at,closed_at,open_price,close_price,commission,net_pnl,setup
W0001,ESZ4,Long,2.0,2021-06-01 09:45:00,2021-06-01 13:45:00,4410.75,4407.50,8.40,-333.40,trend
W0002,ESZ4,Long,2.0,2021-06-02 09:45:00,2021-06-02 12:45:00,4598.00,4605.50,8.40,741.60,trend
W0003,ESZ4,Short,2.0,2021-06-03 09:45:00,2021-06-03 11:45:00,4211.50,4203.00,8.40,841.60,trend
W0004,ESZ4,Short,2.0,2021-06-04 09:45:00,2021-06-04 14:45:00,4317.00,4315.75,8.40,116.60,trend
W0005,ESZ4,Long,2.0,2021-06-07 09:45:00,2021-06-07 12:45:00,4672.00,4674.00,8.40,191.60,trend
W0006,ESZ4,Long,2.0,2021-06-08 09:45:00,2021-06-08 11:45:00,4245.25,4249.00,8.40,366.60,trend
W0007,ESZ4,Long,2.0,2021-06-09 09:45:00,2021-06-09 14:45:00,4914.00,4916.50,8.40,241.60,trend
W0008,ESZ4,Long,2.0,2021-06-10 09:45:00,2021-06-10 10:45:00,4607.75,4609.25,8.40,141.60,trend
W0009,ESZ4,Short,2.0,2021-06-11 09:45:00,2021-06-11 10:45:00,4273.25,4284.75,8.40,-1158.40,trend
W0010,ESZ4,Long,2.0,2021-06-14 09:45:00,2021-06-14 13:45:00,4998.25,5003.00,8.40,466.60,trend
W0011,ESZ4,Short,2.0,2021-06-15 09:45:00,2021-06-15 10:45:00,4735.25,4730.00,8.40,516.60,trend
W0012,ESZ4,Short,2.0,2021-06-16 09:45:00,2021-06-16 10:45:00,5057.25,5064.50,8.40,-733.40,trend
W0013,ESZ4,Short,2.0,2021-06-17 09:45:00,2021-06-17 13:45:00,4535.50,4540.00,8.40,-458.40,trend
W0014,ESZ4,Short,2.0,2021-06-18 09:45:00,2021-06-18 13:45:00,4424.25,4423.25,8.40,91.60,trend
W0015,ESZ4,Long,2.0,2021-06-21 09:45:00,2021-06-21 10:45:00,4481.00,4485.00,8.40,391.60,trend
W0016,ESZ4,Short,2.0,2021-06-22 09:45:00,2021-06-22 13:45:00,4213.00,4203.25,8.40,966.60,trend
W0017,ESZ4,Short,2.0,2021-06-23 09:45:00,2021-06-23 14:45:00,4936.00,4937.50,8.40,-158.40,trend
W0018,ESZ4,Long,2.0,2021-06-24 09:45:00,2021-06-24 11:45:00,4995.50,4999.50,8.40,391.60,trend
W0019,ESZ4,Short,2.0,2021-06-25 09:45:00,2021-06-25 11:45:00,4727.00,4723.75,8.40,316.60,trend
W0020,ESZ4,Short,2.0,2021-06-28 09:45:00,2021-06-28 12:45:00,4493.00,4490.50,8.40,241.60,trend
