date,value
2022-01-03,4239.12
2022-01-04,4240.86
2022-01-05,4253.62
2022-01-06,4259.68
2022-01-07,4222.19
2022-01-10,4200.66
2022-01-11,4118.16
2022-01-12,4099.27
2022-01-13,4149.27
2022-01-14,4299.01
2022-01-17,4347.30
2022-01-18,4282.04
2022-01-19,4314.97
2022-01-20,4348.56
2022-01-21,4394.08
2022-01-24,4362.75
2022-01-25,4422.40
2022-01-26,4446.27
2022-01-27,4459.48
2022-01-28,4515.27
2022-01-31,4562.31
2022-02-01,4553.89
2022-02-02,4543.88
2022-02-03,4583.23
2022-02-04,4590.13
2022-02-07,4624.32
2022-02-08,4662.89
2022-02-09,4806.60
2022-02-10,4832.98
2022-02-11,4813.39
2022-02-14,4791.60
2022-02-15,4731.50
2022-02-16,4778.61
2022-02-17,4852.35
2022-02-18,4886.20
2022-02-21,4884.96
2022-02-22,4848.29
2022-02-23,4852.65
2022-02-24,4883.36
2022-02-25,4876.24
2022-02-28,4868.17
2022-03-01,4768.62
2022-03-02,4782.12
2022-03-03,4792.34
2022-03-04,4843.13
2022-03-07,4750.23
2022-03-08,4763.38
2022-03-09,4715.24
2022-03-10,4702.21
2022-03-11,4782.96
2022-03-14,4763.93
2022-03-15,4797.91
2022-03-16,4805.25
2022-03-17,4833.94
2022-03-18,4816.21
2022-03-21,4924.46
2022-03-22,5002.05
2022-03-23,5062.15
2022-03-24,5146.14
2022-03-25,5124.61
2022-03-28,5130.85
2022-03-29,5121.45
2022-03-30,5155.06
2022-03-31,5193.99
2022-04-01,5132.41
2022-04-04,5160.86
2022-04-05,5253.76
2022-04-06,5255.82
2022-04-07,5187.16
2022-04-08,5249.37
2022-04-11,5237.35
2022-04-12,5333.81
2022-04-13,5251.21
2022-04-14,5331.85
2022-04-15,5434.75
2022-04-18,5470.26
2022-04-19,5328.34
2022-04-20,5300.01
2022-04-21,5268.02
2022-04-22,5333.84
2022-04-25,5445.55
2022-04-26,5431.51
2022-04-27,5509.92
2022-04-28,5497.14
2022-04-29,5464.49
2022-05-02,5477.71
2022-05-03,5484.83
2022-05-04,5484.54
2022-05-05,5517.18
2022-05-06,5739.95
2022-05-09,5686.95
2022-05-10,5675.59
2022-05-11,5664.34
2022-05-12,5719.39
2022-05-13,5610.97
2022-05-16,5562.18
2022-05-17,5446.56
2022-05-18,5327.16
2022-05-19,5313.01
2022-05-20,5267.93
2022-05-23,5328.64
2022-05-24,5381.77
2022-05-25,5303.22
2022-05-26,5214.69
2022-05-27,5228.58
2022-05-30,5259.17
2022-05-31,5306.67
2022-06-01,5340.48
2022-06-02,5333.00
2022-06-03,5272.88
2022-06-06,5122.88
2022-06-07,5164.88
2022-06-08,5188.67
2022-06-09,5252.14
2022-06-10,5357.41
2022-06-13,5409.49
2022-06-14,5489.03
2022-06-15,5439.18
2022-06-16,5570.74
2022-06-17,5540.80
2022-06-20,5635.02
2022-06-21,5557.25
2022-06-22,5588.15
2022-06-23,5472.75
2022-06-24,5373.08
2022-06-27,5382.47
2022-06-28,5389.72
2022-06-29,5453.01
2022-06-30,5516.20
2022-07-01,5412.38
2022-07-04,5362.61
2022-07-05,5351.34
2022-07-06,5351.31
2022-07-07,5269.71
2022-07-08,5376.77
2022-07-11,5438.45
2022-07-12,5394.85
2022-07-13,5262.30
2022-07-14,5225.85
2022-07-15,5148.53
2022-07-18,5064.13
2022-07-19,5070.30
2022-07-20,5036.91
2022-07-21,5093.03
2022-07-22,5191.83
2022-07-25,5198.85
2022-07-26,5182.19
2022-07-27,5234.18
2022-07-28,5295.36
2022-07-29,5360.07
2022-08-01,5362.39
2022-08-02,5332.48
2022-08-03,5356.30
2022-08-04,5354.84
2022-08-05,5291.63
2022-08-08,5208.57
2022-08-09,5193.41
2022-08-10,5168.11
2022-08-11,5155.31
2022-08-12,5123.07
2022-08-15,4988.08
2022-08-16,5012.35
2022-08-17,4929.92
2022-08-18,4907.78
2022-08-19,4911.71
2022-08-22,4880.55
2022-08-23,4883.97
2022-08-24,4981.90
2022-08-25,5014.40
2022-08-26,5021.99
2022-08-29,5029.23
2022-08-30,5026.31
2022-08-31,4903.49
2022-09-01,4738.13
2022-09-02,4730.24
2022-09-05,4673.36
2022-09-06,4528.08
2022-09-07,4546.44
2022-09-08,4571.52
2022-09-09,4548.43
2022-09-12,4480.57
2022-09-13,4465.63
2022-09-14,4420.34
2022-09-15,4458.37
2022-09-16,4405.87
2022-09-19,4289.46
2022-09-20,4249.63
2022-09-21,4257.24
2022-09-22,4296.70
2022-09-23,4396.22
2022-09-26,4364.35
2022-09-27,4405.33
2022-09-28,4435.73
2022-09-29,4386.36
2022-09-30,4293.44
2022-10-03,4249.60
2022-10-04,4249.26
2022-10-05,4240.79
2022-10-06,4211.28
2022-10-07,4139.90
2022-10-10,4118.50
2022-10-11,4128.96
2022-10-12,4118.93
2022-10-13,4149.42
2022-10-14,4094.52
2022-10-17,4133.35
2022-10-18,4129.02
2022-10-19,4041.42
2022-10-20,4053.83
2022-10-21,4076.00
2022-10-24,4073.07
2022-10-25,4069.27
2022-10-26,4098.07
2022-10-27,4116.65
2022-10-28,4137.24
2022-10-31,4175.42
2022-11-01,4088.31
2022-11-02,4120.89
2022-11-03,4092.94
2022-11-04,4024.37
2022-11-07,4177.26
2022-11-08,4228.01
2022-11-09,4266.78
2022-11-10,4288.73
2022-11-11,4230.41
2022-11-14,4218.61
2022-11-15,4162.25
2022-11-16,4112.87
2022-11-17,4060.01
2022-11-18,4126.67
2022-11-21,4114.28
2022-11-22,4067.25
2022-11-23,4067.86
2022-11-24,4056.97
2022-11-25,4077.54
2022-11-28,4156.26
2022-11-29,4133.12
2022-11-30,4205.77
2022-12-01,4136.83
2022-12-02,4159.82
2022-12-05,4149.13
2022-12-06,4150.91
2022-12-07,4186.78
2022-12-08,4240.66
2022-12-09,4246.55
2022-12-12,4147.35
2022-12-13,4075.06
2022-12-14,3905.05
2022-12-15,3902.84
2022-12-16,3939.49
2022-12-19,3984.74
2022-12-20,4049.95
2022-12-21,4028.60
2022-12-22,4033.01
2022-12-23,4122.24
2022-12-26,4150.72
2022-12-27,4053.17
2022-12-28,4187.04
2022-12-29,4121.20
2022-12-30,4098.12
2023-01-02,4101.55
2023-01-03,3965.06
2023-01-04,3940.71
2023-01-05,3886.00
2023-01-06,3885.19
2023-01-09,4020.61
2023-01-10,4044.09
2023-01-11,4086.26
2023-01-12,4058.51
2023-01-13,4139.14
2023-01-16,4079.82
2023-01-17,4015.30
2023-01-18,4144.98
2023-01-19,4200.98
2023-01-20,4215.99
2023-01-23,4144.56
2023-01-24,4212.54
2023-01-25,4126.08
2023-01-26,4173.81
2023-01-27,4136.54
2023-01-30,4097.56
2023-01-31,4064.04
2023-02-01,4097.45
2023-02-02,4044.42
2023-02-03,4012.09
2023-02-06,3999.22
2023-02-07,3971.41
2023-02-08,3939.55
2023-02-09,3913.28
2023-02-10,3873.65
2023-02-13,3933.00
2023-02-14,3941.28
2023-02-15,3929.96
2023-02-16,3881.33
2023-02-17,3972.83
2023-02-20,3919.05
2023-02-21,3913.82
2023-02-22,3851.48
2023-02-23,3824.11
2023-02-24,3874.19
2023-02-27,3934.60
